author,updated_at,like_count,text,public
@Iam_inevitabIe,2022-09-20T15:07:57Z,0,u gougeous dawg,True
@elinteerie4395,2022-09-05T12:09:16Z,0,This is the best I have watched and well understood,True
@ramonsanchez9954,2022-05-06T14:11:45Z,0,"Great explanation, thank you very much",True
@jisanhasnat6770,2021-12-13T12:14:48Z,0,Your explanation was clear and precise. Thanks you.,True
@ehsankhorasani_,2021-09-22T18:34:47Z,0,Thank you very much. very clear and infromative,True
@sami3592,2021-06-18T15:58:07Z,0,"thanks,  short and informative.",True
@thomasrock6722,2021-04-25T21:02:26Z,1,cheers :),True
@Uma7473,2021-03-08T13:46:35Z,0,From classification rules can we derive at confusion matrix? is my question weird or wrong?,True
@Icy_Republic,2021-01-19T16:14:33Z,11,ASMR + Machine Learning = Perfection,True
@amalgafsi4321,2020-11-04T18:48:13Z,0,thanks!,True
@yacoubhossam7542,2020-07-23T06:17:42Z,0,thx for explanation helped me understand,True
@sakata_gintoki007,2020-07-21T10:34:26Z,1,Clear and easy explanation. Thanks for the awesome video,True
@laraibzia3584,2020-07-01T08:10:29Z,0,Concise and brief introduction... excellent explained.. thanks a lottt Mam,True
@shubhamraj5853,2020-04-23T15:08:34Z,1,Thanks a lot ma'am.Really informative and explained concisely.,True
@kingstonteffyroy,2020-03-30T13:14:50Z,0,"Thanks for Explaining,keep posting more",True
@majuran,2020-03-11T08:57:35Z,0,You are so beautiful and explaining every clearly  #beauty_with_brain,True
@emperorcyber509,2020-01-13T04:11:02Z,0,short and concise,True
@sonamnaik2804,2019-09-23T11:56:51Z,2,thanks 💙,True
@ruchisoni5060,2019-08-29T10:00:53Z,1,Yes it's useful thanks mam..,True
