author,updated_at,like_count,text,public
@hemantkumardas3333,2022-03-17T13:45:15Z,0,Thanks Sir...,True
@vaishalisah7061,2021-12-23T22:00:50Z,0,"Hi Sir, you are doing great work. Can you please do a playlist for mac users. It will be very helpful!",True
@aswinjoseph,2021-10-15T06:16:47Z,0,https://youtube.com/playlist?list=PLjcO35JMJZJxZAOo0NUwwmYX1fA9O-OOi,True
@BeStacked100,2021-07-23T09:58:39Z,1,Could not find fonda environment : databases in Command prompt,True
@tathagatpatil1419,2021-07-07T11:53:26Z,0,can we use Xampp for SQL,True
@kavuluridattasriharsha,2021-05-01T12:24:21Z,0,Hi Krish  I am facing below error when trying to fetch data from existing database. Can you please help me on this.  InterfaceError: 2013: Lost connection to MySQL server during query,True
@deepikasaini4272,2020-12-26T14:20:46Z,0,Getting this error Cant connect to MySQL server on 'localhost' (99),True
@darshanjani7595,2020-12-22T12:29:42Z,1,sir please upload the next video on this playlist,True
@chekrasena,2020-10-08T17:07:54Z,1,Joke 07:28,True
@isabellamunhoz7638,2020-10-06T21:34:52Z,0,Amazing video!!! Thank you very much!!!!!!,True
@ayorinde5782,2020-10-06T14:19:20Z,0,"getting this error, what is wrong, ProgrammingError: 1045 (28000): Access denied for user 'root'@'localhost' (using password: YES)",True
@rishavsharma7466,2020-09-11T09:13:57Z,0,"can two classes have same name while training a deep learning model. If yes, are there any effects of it?",True
@mounicak5923,2020-09-10T14:42:56Z,2,👍🏻,True
@manikantaperumalla8014,2020-09-10T14:22:03Z,2,What if we forgot the password,True
